,National Highways,OSMRI,States,length,routes,National Highway URLS,OSMRI_URL
201,National Highway 366 (India),3252270,Goa,10 km (6.2 mi),"(NH17A) NH66 near Cortalim, Vasco, Monnugao Port",https://en.wikipedia.org/wiki/National_Highway_366_(India),http://openstreetmap.org/browse/relation/3252270
202,National Highway 566 (India),3252296,Goa,12.2 km (7.6 mi),"(NH17B) NH748 near Ponda, Verna, NH366 near Vasco",https://en.wikipedia.org/wiki/National_Highway_566_(India),http://openstreetmap.org/browse/relation/3252296
203,National Highway 766 (India),3252308,Kerala,268 km (167 mi),"(NH212) NH66 near Kozikode, Kalpetta, Gundlulpet, Mysore, NH948 near Kollegal",https://en.wikipedia.org/wiki/National_Highway_766_(India),http://openstreetmap.org/browse/relation/3252308
204,National Highway 966 (India),3252912,Kerala,122 km (76 mi),"(NH213) NH66 near Ferokh, NH544 near Palakkad",https://en.wikipedia.org/wiki/National_Highway_966_(India),http://openstreetmap.org/browse/relation/3252912
205,National Highway 966A (India),3252940,Kerala,15 km (9.3 mi),"(NH47C) NH544 near Kalamassery, NH66, Vallarpadam, Ernakulam",https://en.wikipedia.org/wiki/National_Highway_966A_(India),http://openstreetmap.org/browse/relation/3252940
206,National Highway 966B (India),3464512,Kerala,8 km (5.0 mi),"(NH47A) NH66, Willington Island near Kochi, Ernakulam",https://en.wikipedia.org/wiki/National_Highway_966B_(India),http://openstreetmap.org/browse/relation/3464512
207,National Highway 67 (India),3253003,Karnataka,300 km (190 mi),"(NH63) NH48 near Hubli, Gadag, Koppal, Hosepet, Bellary, NH44 near Gooty",https://en.wikipedia.org/wiki/National_Highway_67_(India),http://openstreetmap.org/browse/relation/3253003
208,National Highway 167 (India),3461042,Karnataka,264 km (164 mi),"NH67 near Bellary, Raichur, Makhtal, NH44 near Badepalli",https://en.wikipedia.org/wiki/National_Highway_167_(India),http://openstreetmap.org/browse/relation/3461042
209,National Highway 367 (India),3791072,Karnataka,157 km (98 mi),"NH67 near Bhanapur, Kukunur, Yelburga, Gajendragad, Badami, Guledagudda, Bagalkot,NH52 near Gadankeri",https://en.wikipedia.org/wiki/National_Highway_367_(India),http://openstreetmap.org/browse/relation/3791072
210,National Highway 68 (India),3188307,Rajasthan,429 km (267 mi),"(NH15) Jaisalmer, Barmer, Sanchor, Tharad, Bhabhar, Radhanpur",https://en.wikipedia.org/wiki/National_Highway_68_(India),http://openstreetmap.org/browse/relation/3188307
211,National Highway 69 (India),3253743,Karnataka,625 km (388 mi),"(NH206) NH66 near Honnavar, Shimoga, (NH234) Banavar, Hulyar, Sira, Madhugiri, Chintamani, (NH4) Mulbagal, Palmaner, NH40 near Chittor",https://en.wikipedia.org/wiki/National_Highway_69_(India),http://openstreetmap.org/browse/relation/3253743
212,National Highway 169 (India),3254973,Karnataka,215 km (134 mi),"(NH13) NH69 near Shimoga, Tirthahalli, Koppa, Karkal, NH66 near Mangalore",https://en.wikipedia.org/wiki/National_Highway_169_(India),http://openstreetmap.org/browse/relation/3254973
213,National Highway 169A (India),3791187,Karnataka,87 km (54 mi),"NH-169 near Thirthahalli, Agumbe, Hebri,NH-66 near Udupi",https://en.wikipedia.org/wiki/National_Highway_169A_(India),http://openstreetmap.org/browse/relation/3791187
214,National Highway 369 (India),3255290,Karnataka,105 km (65 mi),"(NH13) NH69 near Shimoga, Channagiri, Holalkere, NH48 near Chitradurga",https://en.wikipedia.org/wiki/National_Highway_369_(India),http://openstreetmap.org/browse/relation/3255290
215,National Highway 71 (India),3255313,Andhra Pradesh,108 km (67 mi),"(NH205) NH42 near Madanpalle, Pileru-Tirupati, NH716 near Renigunta",https://en.wikipedia.org/wiki/National_Highway_71_(India),http://openstreetmap.org/browse/relation/3255313
216,National Highway 73 (India),3255381,Karnataka,316 km (196 mi),"(NH234) NH66 near Mangaluru, (NH206) Banavara, Arsikere, NH48 near Tumkur",https://en.wikipedia.org/wiki/National_Highway_73_(India),http://openstreetmap.org/browse/relation/3255381
217,National Highway 173 (India),3791221,Karnataka,72 km (45 mi),"NH73 near Mudigere, Chikmagalur, NH69 near Kadur",https://en.wikipedia.org/wiki/National_Highway_173_(India),http://openstreetmap.org/browse/relation/3791221
218,National Highway 75 (India),3255606,Karnataka,533 km (331 mi),"(NH48) NH73 near Bantval, Hassan, (NH4) Nelamangala, Bengaluru, Kolar, (NH234) Mulbagal, Venkatagirikota, Pernampet, Gudiyattam, Katpadi, NH48 near Vellore",https://en.wikipedia.org/wiki/National_Highway_75_(India),http://openstreetmap.org/browse/relation/3255606
219,National Highway 275 (India),3791268,Karnataka,367 km (228 mi),"NH-75 near Bantwal, Puttur, Sullia, Madikeri, Kushalanagar, Bylakuppe, Hunsur, Mysore, Srirangapatna, Mandya, Ramanagaram, NH75 near Bengaluru (Bangalore)",https://en.wikipedia.org/wiki/National_Highway_275_(India),http://openstreetmap.org/browse/relation/3791268
220,National Highway 77 (India),3255919,Tamil Nadu,177 km (110 mi),"(NH66) NH48 near Krishnagiri, Uttangarai, Tiruvannamalai, Gingee, NH32 near Tindivanam",https://en.wikipedia.org/wiki/National_Highway_77_(India),http://openstreetmap.org/browse/relation/3255919
221,National Highway 79 (India),3256003,Tamil Nadu,137 km (85 mi),"(NH68) NH44 near Salem, Attur, NH38 near Ulundurpettai",https://en.wikipedia.org/wiki/National_Highway_79_(India),http://openstreetmap.org/browse/relation/3256003
222,National Highway 81 (India),3256061,Tamil Nadu,340 km (210 mi),"(NH67) NH544 near Coimbatore, Palladam, Karur, Krishnarayapuram, (NH227) Tiruchirappalli, Lalgudi, Kallakudi, Kizhapalur, Udaiyarpalaiyam, Jayamkondacholapuram, Gangaikondacholapuram, Kattumannarkoil, Komarakshi, NH32 near Chidambaram",https://en.wikipedia.org/wiki/National_Highway_81_(India),http://openstreetmap.org/browse/relation/3256061
223,National Highway 181 (India),3256768,Karnataka,211 km (131 mi),"(NH67) NH81 near Coimbatore, Mettuppalayam, Udagamandalam (ooty), Gudalur, NH766 near Gundulpet",https://en.wikipedia.org/wiki/National_Highway_181_(India),http://openstreetmap.org/browse/relation/3256768
224,National Highway 83 (India),3256907,Tamil Nadu,394 km (245 mi),"(NH209) NH544 near Coimbatore, Pollachi, (NH45) Dindigul (NH67) Tiruchchirappali, Thanjavur, NH32 near Nagappattinam",https://en.wikipedia.org/wiki/National_Highway_83_(India),http://openstreetmap.org/browse/relation/3256907
225,National Highway 183 (India),3257198,Kerala,322 km (200 mi),"(NH45) NH83 near Dindigul, (NH220) Teni, Uttamapalayam, Cumbum, Kumily, Peermedu, Mundakkayam, Kanjirappali, Kodungoor, Kottayam, Changanassery, Chengannur, NH744 near Kundara, Anchalumoodu, Thevally, NH66 near Kollam",https://en.wikipedia.org/wiki/National_Highway_183_(India),http://openstreetmap.org/browse/relation/3257198
226,National Highway 85 (India),3257242,Kerala,413 km (257 mi),"(NH49) NH66 near Kochi, Ernakulam, Moovttupuzha, Kothamangalam,Neriamangalam,Adimali, Munnar, Devikulam, Bodi, Theni, Madurai, (NH230) Tiruppuvanam, Sivaganga, Tondi point",https://en.wikipedia.org/wiki/National_Highway_85_(India),http://openstreetmap.org/browse/relation/3257242
227,National Highway 87 (India),3257823,Tamil Nadu,154 km (96 mi),"(NH49) NH38 near Tiruppuvanam, Manamadurai, Ramanathapuram, Rameswaram, Dhanushkodi",https://en.wikipedia.org/wiki/National_Highway_87_(India),http://openstreetmap.org/browse/relation/3257823
